ID;BESTLOC;GRAMS;portion;EUFDNAME
3;0;49;0;ALC
3;0.8;49;0.392;ASH
3;6.2;49;3.038;CA
3;29.7;49;14.553;CAROTENS
3;14.2;49;6.958;CARTB
3;18.3;49;8.967;CHOAVL
3;23.01;49;11.2749;CHOCDF
3;0;49;0;CHOLE
3;0.108;49;0.05292;CU
3;366.42;49;179.5458;ENERC
3;40.402;49;19.79698;F16D0T
3;10.578;49;5.18322;F18D1T
3;26.417;49;12.94433;F18D2CN6
3;19.638;49;9.62262;F18D3N3
3;0;49;0;F20D4N6
3;0;49;0;F20D5N3
3;0;49;0;F22D6N3
3;0.1127;49;0.055223;FACIDCTG
3;0.1078;49;0.052822;FAFRE
3;0.014;49;0.00686;FAMCIS
3;0.0477;49;0.023373;FAPU
3;0.0196;49;0.009604;FAPUN3
3;0.0264;49;0.012936;FAPUN6
3;0.002;49;0.00098;FAS18
3;0.0461;49;0.022589;FASAT
3;0.4;49;0.196;FAT
3;0;49;0;FATRN
3;0.01;49;0.0049;FD
3;1;49;0;FE
3;1.8;49;0.882;FIBC
3;1;49;0;FIBINS
3;1.7;49;0.833;FIBT
3;12.54;49;6.1446;FOL
3;2.7;49;1.323;FRUS
3;4.4;49;2.156;GLUS
3;1;49;0;ID
3;358.4;49;175.616;K
3;0;49;0;LACS
3;0;49;0;MALS
3;31.32;49;15.3468;MG
3;0.24;49;0.1176;MN
3;0.005;49;0.00245;MO
3;0;49;0;MYRIC
3;5;49;2;NA
3;12.74;49;6.2426;NACL
3;0.7;49;0.343;NIA
3;0.917;49;0.44933;NIAEQ
3;0.19;49;0.0931;NT
3;0.44;49;0.2156;OA
3;24.9;49;12.201;P
3;1.2;49;0.588;PROT
3;0.7;49;0.343;PSACNCS
3;0;49;0;QUERCE
3;0;49;0;RETOL
3;0.06;49;0.0294;RIBF
3;0.32;49;0.1568;SE
3;4.8;49;2.352;STARCH
3;11.6;49;5.684;STERT
3;6.4;49;3.136;SUCS
3;13.5;49;6.615;SUGAR
3;0;49;0;SUGOH
3;0.04;49;0.0196;THIA
3;13;49;6;TRP
3;1.68;49;0.8232;VITA
3;0;49;0;VITB12
3;10;49;4;VITC
3;0;49;0;VITD
3;0.21;49;0.1029;VITE
3;0.5;49;0.245;VITK
3;0.5;49;0.245;VITPYRID
3;74.6;49;36.554;WATER
3;0.19;49;0.0931;ZN
6;0;2;0;ALC
6;3;2;0;ASH
6;45;2;0;CA
6;22;2;0;CAROTENS
6;0;2;0;CARTB
6;18.8;2;0.376;CHOAVL
6;25.45;2;0.509;CHOCDF
6;0;2;0;CHOLE
6;2.22;2;0.0444;CU
6;2402.55;2;48.051;ENERC
6;3916;2;78;F16D0T
6;23523;2;470;F18D1T
6;7782;2;155;F18D2CN6
6;62;2;1;F18D3N3
6;0;2;0;F20D4N6
6;0;2;0;F20D5N3
6;0;2;0;F22D6N3
6;41.2396;2;0.824792;FACIDCTG
6;39.426;2;0.78852;FAFRE
6;23.797;2;0.47594;FAMCIS
6;7.844;2;0.15688;FAPU
6;0.062;2;0.00124;FAPUN3
6;7.782;2;0.15564;FAPUN6
6;3.223;2;0.06446;FAS18
6;7.785;2;0.1557;FASAT
6;46.35;2;0.927;FAT
6;0;2;0;FATRN
6;0.14;2;0.0028;FD
6;6;2;0;FE
6;3.5;2;0.07;FIBC
6;1.9;2;0.038;FIBINS
6;3.5;2;0.07;FIBT
6;69.2;2;1.384;FOL
6;0;2;0;FRUS
6;0;2;0;GLUS
6;10;2;0;ID
6;565;2;11;K
6;0;2;0;LACS
6;0;2;0;MALS
6;260;2;5;MG
6;0.84;2;0.0168;MN
6;0.01;2;0.0002;MO
6;0;2;0;MYRIC
6;10;2;0;NA
6;25.48;2;0.5096;NACL
6;1.2;2;0.024;NIA
6;8.715;2;0.1743;NIAEQ
6;3.87;2;0.0774;NT
6;0;2;0;OA
6;490;2;9;P
6;20;2;0;PROT
6;1.6;2;0.032;PSACNCS
6;0;2;0;QUERCE
6;0;2;0;RETOL
6;0.2;2;0.004;RIBF
6;11;2;0;SE
6;14.2;2;0.284;STARCH
6;117.6;2;2.352;STERT
6;4.6;2;0.092;SUCS
6;4.6;2;0.092;SUGAR
6;0;2;0;SUGOH
6;0.2;2;0.004;THIA
6;450;2;9;TRP
6;0;2;0;VITA
6;0;2;0;VITB12
6;0;2;0;VITC
6;0;2;0;VITD
6;0.9;2;0.018;VITE
6;7;2;0;VITK
6;0.4;2;0.008;VITPYRID
6;5.2;2;0.104;WATER
6;5.6;2;0.112;ZN
12;0;238;0;ALC
12;0.733;238;1.74454;ASH
12;123.04;238;292.8352;CA
12;11.8;238;28.084;CAROTENS
12;11.79;238;28.0602;CARTB
12;4.829;238;11.49302;CHOAVL
12;4.866;238;11.58108;CHOCDF
12;8.07;238;19.2066;CHOLE
12;0.85;238;2.023;CR
12;0.0093;238;0.022134;CU
12;228.64;238;544.1632;ENERC
12;720.097;238;1713.83086;F16D0T
12;448.563;238;1067.57994;F18D1T
12;32.379;238;77.06202;F18D2CN6
12;8.371;238;19.92298;F18D3N3
12;0;238;0;F20D4N6
12;0;238;0;F20D5N3
12;0;238;0;F22D6N3
12;2.336;238;5.55968;FACIDCTG
12;2.234;238;5.31692;FAFRE
12;0.5205;238;1.23879;FAMCIS
12;0.054;238;0.12852;FAPU
12;0.0084;238;0.019992;FAPUN3
12;0.032;238;0.07616;FAPUN6
12;0.2335;238;0.55573;FAS18
12;1.5949;238;3.795862;FASAT
12;2.504;238;5.95952;FAT
12;0.0643;238;0.153034;FATRN
12;0.01;238;0.0238;FD
12;0.054;238;0.12852;FE
12;0;238;0;FIBC
12;0;238;0;FIBINS
12;0;238;0;FIBT
12;5.48;238;13.0424;FOL
12;0;238;0;FRUS
12;1.876;238;4.46488;GALS
12;1.876;238;4.46488;GLUS
12;14.32;238;34.0816;ID
12;160;238;380;K
12;1.077;238;2.56326;LACS
12;0;238;0;MALS
12;11.293;238;26.87734;MG
12;0.01;238;0.0238;MN
12;0.005;238;0.0119;MO
12;0;238;0;MYRIC
12;44;238;104;NA
12;112.11;238;266.8218;NACL
12;0.1;238;0.238;NIA
12;0.848;238;2.01824;NIAEQ
12;0.483;238;1.14954;NT
12;0.2;238;0.476;OA
12;90;238;214;P
12;3.02;238;7.1876;PROT
12;0;238;0;PSACNCS
12;0;238;0;QUERCE
12;19.45;238;46.291;RETOL
12;0.185;238;0.4403;RIBF
12;2.849;238;6.78062;SE
12;0;238;0;STARCH
12;0.07;238;0.1666;STERT
12;0;238;0;SUCS
12;4.829;238;11.49302;SUGAR
12;0;238;0;SUGOH
12;0.0333;238;0.079254;THIA
12;44.8;238;106.624;TRP
12;20.424;238;48.60912;VITA
12;0.4;238;0.952;VITB12
12;1.05;238;2.499;VITC
12;0.025;238;0.0595;VITD
12;0.046;238;0.10948;VITE
12;0.585;238;1.3923;VITK
12;0.05;238;0.119;VITPYRID
12;88.92;238;211.6296;WATER
12;0.437;238;1.04006;ZN
13;0;26;0;ALC
13;0.648;26;0.16848;ASH
13;111.69;26;29.0394;CA
13;33.9;26;8.814;CAROTENS
13;20.3;26;5.278;CARTB
13;12.023;26;3.12598;CHOAVL
13;13.209;26;3.43434;CHOCDF
13;7.04;26;1.8304;CHOLE
13;0.91;26;0.2366;CR
13;0.0167;26;0.004342;CU
13;336.5;26;87.49;ENERC
13;581.201;26;151.11226;F16D0T
13;370.718;26;96.38668;F18D1T
13;31.559;26;8.20534;F18D2CN6
13;10.853;26;2.82178;F18D3N3
13;0;26;0;F20D4N6
13;0;26;0;F20D5N3
13;0;26;0;F22D6N3
13;1.909;26;0.49634;FACIDCTG
13;1.825;26;0.4745;FAFRE
13;0.4309;26;0.112034;FAMCIS
13;0.053;26;0.01378;FAPU
13;0.0109;26;0.002834;FAPUN3
13;0.032;26;0.00832;FAPUN6
13;0.1972;26;0.051272;FAS18
13;1.2973;26;0.337298;FASAT
13;2.006;26;0.52156;FAT
13;0.0439;26;0.011414;FATRN
13;0.012;26;0.00312;FD
13;0.109;26;0.02834;FE
13;0.254;26;0.06604;FIBC
13;0.16;26;0.0416;FIBINS
13;0.242;26;0.06292;FIBT
13;5.21;26;1.3546;FOL
13;0.597;26;0.15522;FRUS
13;0;26;0;GALS
13;0.555;26;0.1443;GLUS
13;12.28;26;3.1928;ID
13;174.22;26;45.2972;K
13;3.812;26;0.99112;LACS
13;0;26;0;MALS
13;10.272;26;2.67072;MG
13;0.0647;26;0.016822;MN
13;0.0052;26;0.001352;MO
13;62.32;26;16.2032;MYRIC
13;40.18;26;10.4468;NA
13;102.37;26;26.6162;NACL
13;0.138;26;0.03588;NIA
13;0.734;26;0.19084;NIAEQ
13;0.506;26;0.13156;NT
13;0.248;26;0.06448;OA
13;73.6;26;19.136;P
13;3.1;26;0.806;PROT
13;0.09;26;0.0234;PSACNCS
13;209.6;26;54.496;QUERCE
13;16.75;26;4.355;RETOL
13;0.151;26;0.03926;RIBF
13;2.304;26;0.59904;SE
