ID;BESTLOC;GRAMS;portion;EUFDNAME
550;0;"";0;ALC
550;0.6;"";0.0;ASH
550;9.77;"";0.0;CA
550;60;"";0;CAROTENS
550;60;"";0;CARTB
550;11.2;"";0.0;CHOAVL
550;14.565;"";0.0;CHOCDF
550;0;"";0;CHOLE
550;11;"";0;CR
550;0.067;"";0.0;CU
550;219.9;"";0.0;ENERC
550;5;"";0;F16D0T
550;13;"";0;F18D1T
550;24;"";0;F18D2CN6
550;18;"";0;F18D3N3
550;0;"";0;F20D4N6
550;0;"";0;F20D5N3
550;0;"";0;F22D6N3
550;0.067;"";0.0;FACIDCTG
550;0.064;"";0.0;FAFRE
550;0.014;"";0.0;FAMCIS
550;0.042;"";0.0;FAPU
550;0.018;"";0.0;FAPUN3
550;0.024;"";0.0;FAPUN6
550;0.003;"";0.0;FAS18
550;0.008;"";0.0;FASAT
550;0.1;"";0.0;FAT
550;0;"";0;FATRN
550;0.005;"";0.0;FD
550;1;"";0;FE
550;1.4;"";0.0;FIBC
550;1.2;"";0.0;FIBINS
550;1.3;"";0.0;FIBT
550;9.15;"";0.0;FOL
550;1.4;"";0.0;FRUS
550;2.3;"";0.0;GLUS
550;1;"";0;ID
550;104;"";0;K
550;0;"";0;LACS
550;0;"";0;MALS
550;12.4;"";0.0;MG
550;1.5;"";0.0;MN
550;0;"";0;MO
550;10;"";0;MYRIC
550;5;"";0;NA
550;12.74;"";0.0;NACL
550;0.284;"";0.0;NIA
550;0.367;"";0.0;NIAEQ
550;0.06;"";0.0;NT
550;0.6;"";0.0;OA
550;6.8;"";0.0;P
550;0.4;"";0.0;PROT
550;0.1;"";0.0;PSACNCS
550;0;"";0;QUERCE
550;0;"";0;RETOL
550;0.01;"";0.0;RIBF
550;0.5;"";0.0;SE
550;0;"";0;STARCH
550;17;"";0;STERT
550;7.5;"";0.0;SUCS
550;11.2;"";0.0;SUGAR
550;0;"";0;SUGOH
550;0.09;"";0.0;THIA
550;5;"";0;TRP
550;4.98;"";0.0;VITA
550;0;"";0;VITB12
550;7.5;"";0.0;VITC
550;0;"";0;VITD
550;0.02;"";0.0;VITE
550;0.2;"";0.0;VITK
550;0.09;"";0.0;VITPYRID
550;84.3;"";0.0;WATER
550;0.11;"";0.0;ZN
551;0;"";0;ALC
551;2.8;"";0.0;ASH
551;15;"";0;CA
551;406.5;"";0.0;CAROTENS
551;33.7;"";0.0;CARTB
551;0.77;"";0.0;CHOAVL
551;7.47;"";0.0;CHOCDF
551;0;"";0;CHOLE
551;0.21;"";0.0;CU
551;829.2;"";0.0;ENERC
551;2624.42;"";0.0;F16D0T
551;11771.292;"";0.0;F18D1T
551;1445.744;"";0.0;F18D2CN6
551;124.408;"";0.0;F18D3N3
551;0;"";0;F20D4N6
551;0;"";0;F20D5N3
551;0;"";0;F22D6N3
551;17.7201;"";0.0;FACIDCTG
551;16.9408;"";0.0;FAFRE
551;12.6375;"";0.0;FAMCIS
551;1.5702;"";0.0;FAPU
551;0.1244;"";0.0;FAPUN3
551;1.4457;"";0.0;FAPUN6
551;0.1087;"";0.0;FAS18
551;2.7331;"";0.0;FASAT
551;19.4;"";0.0;FAT
551;0;"";0;FATRN
551;0;"";0;FD
551;0.5;"";0.0;FE
551;6.7;"";0.0;FIBC
551;2;"";0;FIBINS
551;3.6;"";0.0;FIBT
551;11;"";0;FOL
551;0.12;"";0.0;FRUS
551;0.1;"";0.0;GALS
551;0.37;"";0.0;GLUS
551;1.41;"";0.0;ID
551;400;"";0;K
551;0;"";0;LACS
551;0;"";0;MALS
551;29;"";0;MG
551;0.14;"";0.0;MN
551;0;"";0;MO
551;0;"";0;MYRIC
551;6;"";0;NA
551;15.29;"";0.0;NACL
551;1.1;"";0.0;NIA
551;1.467;"";0.0;NIAEQ
551;0.42;"";0.0;NT
551;31;"";0;P
551;2.63;"";0.0;PROT
551;1.6;"";0.0;PSACNCS
551;0;"";0;QUERCE
551;0;"";0;RETOL
551;0.16;"";0.0;RIBF
551;0.4;"";0.0;SE
551;0.11;"";0.0;STARCH
551;75.3;"";0.0;STERT
551;0.06;"";0.0;SUCS
551;0.66;"";0.0;SUGAR
551;0;"";0;SUGOH
551;0.07;"";0.0;THIA
551;22;"";0;TRP
551;5.16;"";0.0;VITA
551;0;"";0;VITB12
551;10.2;"";0.0;VITC
551;0;"";0;VITD
551;2.07;"";0.0;VITE
551;20;"";0;VITK
551;0.42;"";0.0;VITPYRID
551;67.7;"";0.0;WATER
551;0;"";0;ZN
552;0;49;0;ALC
552;0.8;49;0.392;ASH
552;6.2;49;3.038;CA
552;29.7;49;14.553;CAROTENS
552;14.2;49;6.958;CARTB
552;18.3;49;8.967;CHOAVL
552;23.01;49;11.2749;CHOCDF
552;0;49;0;CHOLE
552;0.108;49;0.05292;CU
552;366.42;49;179.5458;ENERC
552;40.402;49;19.79698;F16D0T
552;10.578;49;5.18322;F18D1T
552;26.417;49;12.94433;F18D2CN6
552;19.638;49;9.62262;F18D3N3
552;0;49;0;F20D4N6
552;0;49;0;F20D5N3
552;0;49;0;F22D6N3
552;0.1127;49;0.055223;FACIDCTG
552;0.1078;49;0.052822;FAFRE
552;0.014;49;0.00686;FAMCIS
552;0.0477;49;0.023373;FAPU
552;0.0196;49;0.009604;FAPUN3
552;0.0264;49;0.012936;FAPUN6
552;0.002;49;0.00098;FAS18
552;0.0461;49;0.022589;FASAT
552;0.4;49;0.196;FAT
552;0;49;0;FATRN
552;0.01;49;0.0049;FD
552;1;49;0;FE
552;1.8;49;0.882;FIBC
552;1;49;0;FIBINS
552;1.7;49;0.833;FIBT
552;12.54;49;6.1446;FOL
552;2.7;49;1.323;FRUS
552;4.4;49;2.156;GLUS
552;1;49;0;ID
552;358.4;49;175.616;K
552;0;49;0;LACS
552;0;49;0;MALS
552;31.32;49;15.3468;MG
552;0.24;49;0.1176;MN
552;0.005;49;0.00245;MO
552;0;49;0;MYRIC
552;5;49;2;NA
552;12.74;49;6.2426;NACL
552;0.7;49;0.343;NIA
552;0.917;49;0.44933;NIAEQ
552;0.19;49;0.0931;NT
552;0.44;49;0.2156;OA
552;24.9;49;12.201;P
552;1.2;49;0.588;PROT
552;0.7;49;0.343;PSACNCS
552;0;49;0;QUERCE
552;0;49;0;RETOL
552;0.06;49;0.0294;RIBF
552;0.32;49;0.1568;SE
552;4.8;49;2.352;STARCH
552;11.6;49;5.684;STERT
552;6.4;49;3.136;SUCS
552;13.5;49;6.615;SUGAR
552;0;49;0;SUGOH
552;0.04;49;0.0196;THIA
552;13;49;6;TRP
552;1.68;49;0.8232;VITA
552;0;49;0;VITB12
552;10;49;4;VITC
552;0;49;0;VITD
552;0.21;49;0.1029;VITE
552;0.5;49;0.245;VITK
552;0.5;49;0.245;VITPYRID
552;74.6;49;36.554;WATER
552;0.19;49;0.0931;ZN
553;0;"";0;ALC
553;0.99;"";0.0;ASH
553;30;"";0;CA
553;8516;"";0;CAROTENS
553;7658.1;"";0.0;CARTB
553;16.83;"";0.0;CHOAVL
553;20.11;"";0.0;CHOCDF
553;0;"";0;CHOLE
553;0.151;"";0.0;CU
553;338.65;"";0.0;ENERC
553;18;"";0;F16D0T
553;1;"";0;F18D1T
553;13;"";0;F18D2CN6
553;1;"";0;F18D3N3
553;0;"";0;F20D4N6
553;0;"";0;F20D5N3
553;0;"";0;F22D6N3
553;0.036;"";0.0;FACIDCTG
553;0.034;"";0.0;FAFRE
553;0.001;"";0.0;FAMCIS
553;0.014;"";0.0;FAPU
553;0.001;"";0.0;FAPUN3
553;0.013;"";0.0;FAPUN6
553;0.001;"";0.0;FAS18
553;0.019;"";0.0;FASAT
553;0.05;"";0.0;FAT
553;0;"";0;FATRN
553;0.61;"";0.0;FE
553;3;"";0;FIBC
553;1.4;"";0.0;FIBINS
553;2.5;"";0.0;FIBT
553;7.7;"";0.0;FOL
553;0.7;"";0.0;FRUS
553;0;"";0;GALS
553;0.96;"";0.0;GLUS
553;2;"";0;ID
553;337;"";0;K
553;0;"";0;LACS
553;0;"";0;MALS
553;25;"";0;MG
553;0.258;"";0.0;MN
553;55;"";0;NA
553;140.14;"";0.0;NACL
553;0.557;"";0.0;NIA
553;0.713;"";0.0;NIAEQ
553;0;"";0;OA
553;47;"";0;P
553;1.57;"";0.0;PROT
553;1.1;"";0.0;PSACNCS
553;0;"";0;RETOL
553;0.049;"";0.0;RIBF
553;0.6;"";0.0;SE
553;12.65;"";0.0;STARCH
553;12;"";0;STERT
553;2.52;"";0.0;SUCS
553;4.18;"";0.0;SUGAR
553;0;"";0;SUGOH
553;0.0585;"";0.0;THIA
553;20;"";0;TRP
553;635.886;"";0.0;VITA
553;0;"";0;VITB12
553;1.56;"";0.0;VITC
553;0;"";0;VITD
553;0.26;"";0.0;VITE
553;1.8;"";0.0;VITK
553;0.21;"";0.0;VITPYRID
553;61.82;"";0.0;WATER
553;0.3;"";0.0;ZN
554;0;"";0;ALC
554;1.3;"";0.0;ASH
554;6;"";0;CA
554;570.6;"";0.0;CAROTENS
554;570.57;"";0.0;CARTB
