PERSON;ID;BESTLOC;GRAMS;portion;EUFDNAME
paula;3;0;49;0;ALC
paula;3;0.8;49;0.392;ASH
paula;3;6.2;49;3.038;CA
paula;3;29.7;49;14.553;CAROTENS
paula;3;14.2;49;6.958;CARTB
paula;3;18.3;49;8.967;CHOAVL
paula;3;23.01;49;11.2749;CHOCDF
paula;3;0;49;0;CHOLE
paula;3;0.108;49;0.05292;CU
paula;3;366.42;49;179.5458;ENERC
paula;3;40.402;49;19.79698;F16D0T
paula;3;10.578;49;5.18322;F18D1T
paula;3;26.417;49;12.94433;F18D2CN6
paula;3;19.638;49;9.62262;F18D3N3
paula;3;0;49;0;F20D4N6
paula;3;0;49;0;F20D5N3
paula;3;0;49;0;F22D6N3
paula;3;0.1127;49;0.055223;FACIDCTG
paula;3;0.1078;49;0.052822;FAFRE
paula;3;0.014;49;0.00686;FAMCIS
paula;3;0.0477;49;0.023373;FAPU
paula;3;0.0196;49;0.009604;FAPUN3
paula;3;0.0264;49;0.012936;FAPUN6
paula;3;0.002;49;0.00098;FAS18
paula;3;0.0461;49;0.022589;FASAT
paula;3;0.4;49;0.196;FAT
paula;3;0;49;0;FATRN
paula;3;0.01;49;0.0049;FD
paula;3;1;49;0;FE
paula;3;1.8;49;0.882;FIBC
paula;3;1;49;0;FIBINS
paula;3;1.7;49;0.833;FIBT
paula;3;12.54;49;6.1446;FOL
paula;3;2.7;49;1.323;FRUS
paula;3;4.4;49;2.156;GLUS
paula;3;1;49;0;ID
paula;3;358.4;49;175.616;K
paula;3;0;49;0;LACS
paula;3;0;49;0;MALS
paula;3;31.32;49;15.3468;MG
paula;3;0.24;49;0.1176;MN
paula;3;0.005;49;0.00245;MO
paula;3;0;49;0;MYRIC
paula;3;5;49;2;NA
paula;3;12.74;49;6.2426;NACL
paula;3;0.7;49;0.343;NIA
paula;3;0.917;49;0.44933;NIAEQ
paula;3;0.19;49;0.0931;NT
paula;3;0.44;49;0.2156;OA
paula;3;24.9;49;12.201;P
paula;3;1.2;49;0.588;PROT
paula;3;0.7;49;0.343;PSACNCS
paula;3;0;49;0;QUERCE
paula;3;0;49;0;RETOL
paula;3;0.06;49;0.0294;RIBF
paula;3;0.32;49;0.1568;SE
paula;3;4.8;49;2.352;STARCH
paula;3;11.6;49;5.684;STERT
paula;3;6.4;49;3.136;SUCS
paula;3;13.5;49;6.615;SUGAR
paula;3;0;49;0;SUGOH
paula;3;0.04;49;0.0196;THIA
paula;3;13;49;6;TRP
paula;3;1.68;49;0.8232;VITA
paula;3;0;49;0;VITB12
paula;3;10;49;4;VITC
paula;3;0;49;0;VITD
paula;3;0.21;49;0.1029;VITE
paula;3;0.5;49;0.245;VITK
paula;3;0.5;49;0.245;VITPYRID
paula;3;74.6;49;36.554;WATER
paula;3;0.19;49;0.0931;ZN
paula;6;0;2;0;ALC
paula;6;3;2;0;ASH
paula;6;45;2;0;CA
paula;6;22;2;0;CAROTENS
paula;6;0;2;0;CARTB
paula;6;18.8;2;0.376;CHOAVL
paula;6;25.45;2;0.509;CHOCDF
paula;6;0;2;0;CHOLE
paula;6;2.22;2;0.0444;CU
